SUIT_1,RANK_1,SUIT_2,RANK_2,SUIT_3,RANK_3,SUIT_4,RANK_4,SUIT_5,RANK_5,Figura
picas,J,treboles,6,corazones,7,corazones,10,treboles,8,no_hay_figura
treboles,Q,diamantes,3,picas,6,corazones,1,diamantes,J,no_hay_figura
treboles,J,corazones,2,picas,3,corazones,1,diamantes,6,no_hay_figura
treboles,K,corazones,4,picas,5,corazones,8,picas,J,no_hay_figura
corazones,Q,corazones,4,diamantes,4,picas,7,treboles,7,doble_pareja
treboles,9,picas,2,treboles,6,treboles,2,picas,Q,pareja
diamantes,9,treboles,Q,diamantes,10,corazones,9,diamantes,7,pareja
picas,1,corazones,1,diamantes,7,picas,J,treboles,3,pareja
corazones,J,corazones,2,treboles,J,diamantes,4,treboles,4,doble_pareja
diamantes,7,corazones,9,picas,2,picas,9,corazones,K,pareja
picas,6,treboles,7,corazones,J,picas,2,picas,1,no_hay_figura
treboles,K,treboles,4,picas,Q,treboles,7,diamantes,J,no_hay_figura
treboles,3,treboles,5,picas,7,diamantes,J,diamantes,1,no_hay_figura
diamantes,3,picas,Q,diamantes,J,picas,10,picas,K,no_hay_figura
diamantes,J,diamantes,1,treboles,J,picas,2,picas,8,pareja
corazones,5,picas,5,corazones,Q,treboles,2,corazones,3,pareja
corazones,9,treboles,10,diamantes,J,diamantes,8,treboles,1,no_hay_figura
picas,6,diamantes,4,treboles,8,treboles,10,diamantes,5,no_hay_figura
picas,6,diamantes,3,diamantes,6,picas,J,treboles,Q,pareja
picas,Q,corazones,6,treboles,J,corazones,2,picas,1,no_hay_figura
treboles,3,picas,7,treboles,7,picas,3,treboles,9,doble_pareja
corazones,3,treboles,10,corazones,2,corazones,Q,picas,J,no_hay_figura
treboles,9,diamantes,10,diamantes,J,diamantes,7,picas,K,no_hay_figura
diamantes,4,treboles,Q,corazones,6,diamantes,3,picas,7,no_hay_figura
diamantes,8,corazones,K,corazones,10,treboles,K,picas,9,pareja
corazones,7,corazones,3,treboles,5,treboles,1,treboles,4,no_hay_figura
picas,4,diamantes,1,picas,K,corazones,Q,treboles,10,no_hay_figura
treboles,9,treboles,6,picas,6,treboles,Q,treboles,5,pareja
picas,2,diamantes,6,corazones,K,corazones,8,diamantes,9,no_hay_figura
diamantes,2,treboles,5,treboles,3,picas,1,diamantes,5,pareja
treboles,6,corazones,10,diamantes,Q,treboles,J,diamantes,J,pareja
diamantes,J,diamantes,5,diamantes,10,diamantes,8,picas,7,no_hay_figura
corazones,7,picas,2,treboles,4,picas,1,diamantes,7,pareja
treboles,K,diamantes,Q,corazones,4,picas,5,corazones,K,pareja
corazones,10,picas,7,corazones,4,corazones,9,corazones,7,pareja
diamantes,2,treboles,6,corazones,5,diamantes,6,corazones,K,pareja
picas,5,corazones,1,corazones,K,diamantes,1,diamantes,Q,pareja
treboles,5,diamantes,K,picas,9,picas,7,corazones,K,pareja
diamantes,2,diamantes,J,corazones,7,picas,3,picas,2,pareja
corazones,J,corazones,K,treboles,2,corazones,5,picas,3,no_hay_figura
treboles,6,picas,9,diamantes,2,diamantes,3,picas,Q,no_hay_figura
diamantes,Q,picas,J,picas,5,treboles,5,diamantes,2,pareja
corazones,J,corazones,7,treboles,9,corazones,10,diamantes,8,escalera
corazones,5,picas,9,corazones,K,picas,8,treboles,5,pareja
corazones,K,picas,J,picas,K,diamantes,K,picas,Q,trio
corazones,J,treboles,1,diamantes,8,diamantes,1,treboles,7,pareja
corazones,8,diamantes,Q,picas,2,picas,K,diamantes,3,no_hay_figura
corazones,J,corazones,2,corazones,5,treboles,10,picas,2,pareja
corazones,Q,diamantes,1,picas,6,corazones,7,picas,K,no_hay_figura
diamantes,5,corazones,2,picas,Q,diamantes,10,diamantes,2,pareja
picas,2,diamantes,1,diamantes,10,corazones,9,picas,8,no_hay_figura
picas,2,treboles,7,treboles,9,treboles,4,diamantes,4,pareja
treboles,K,corazones,1,treboles,1,picas,6,diamantes,9,pareja
corazones,2,picas,1,picas,K,treboles,Q,corazones,7,no_hay_figura
picas,2,corazones,8,corazones,4,corazones,Q,treboles,K,no_hay_figura
corazones,4,treboles,3,diamantes,8,treboles,2,picas,J,no_hay_figura
corazones,8,corazones,9,corazones,5,diamantes,K,treboles,Q,no_hay_figura
picas,6,diamantes,K,treboles,9,picas,5,treboles,5,pareja
diamantes,10,diamantes,J,diamantes,Q,diamantes,1,treboles,10,pareja
diamantes,K,diamantes,Q,corazones,8,diamantes,10,diamantes,J,no_hay_figura
corazones,8,corazones,J,corazones,1,diamantes,2,diamantes,10,no_hay_figura
diamantes,4,corazones,9,treboles,9,diamantes,K,picas,10,pareja
treboles,J,diamantes,8,corazones,J,treboles,5,picas,2,pareja
corazones,4,corazones,K,diamantes,3,treboles,4,picas,Q,pareja
treboles,Q,corazones,5,diamantes,8,diamantes,2,corazones,K,no_hay_figura
corazones,10,diamantes,4,corazones,8,picas,8,picas,4,doble_pareja
treboles,J,corazones,4,picas,6,diamantes,3,picas,8,no_hay_figura
corazones,9,corazones,K,picas,10,corazones,8,treboles,5,no_hay_figura
picas,6,treboles,8,picas,5,picas,10,corazones,5,pareja
diamantes,1,diamantes,6,treboles,7,corazones,1,treboles,5,pareja
picas,Q,picas,10,corazones,1,picas,J,treboles,9,no_hay_figura
picas,1,diamantes,Q,picas,9,diamantes,7,diamantes,6,no_hay_figura
treboles,3,picas,7,corazones,9,diamantes,Q,treboles,K,no_hay_figura
treboles,4,diamantes,Q,treboles,K,picas,10,corazones,J,no_hay_figura
diamantes,1,corazones,4,picas,3,corazones,9,picas,J,no_hay_figura
corazones,10,diamantes,1,diamantes,2,diamantes,3,treboles,5,no_hay_figura
picas,Q,diamantes,J,corazones,9,corazones,K,treboles,8,no_hay_figura
picas,7,diamantes,10,corazones,3,treboles,2,corazones,1,no_hay_figura
picas,1,picas,7,treboles,K,picas,8,diamantes,J,no_hay_figura
picas,Q,diamantes,10,picas,3,diamantes,8,diamantes,7,no_hay_figura
treboles,9,treboles,6,corazones,5,corazones,6,corazones,J,pareja
treboles,Q,treboles,2,corazones,6,corazones,10,picas,2,pareja
diamantes,6,corazones,3,diamantes,2,picas,6,treboles,9,pareja
diamantes,5,picas,10,picas,8,picas,K,treboles,9,no_hay_figura
diamantes,4,treboles,K,picas,10,treboles,9,corazones,J,no_hay_figura
treboles,3,picas,7,treboles,J,picas,6,picas,J,pareja
corazones,2,treboles,3,corazones,3,diamantes,9,picas,3,trio
picas,1,treboles,K,diamantes,4,diamantes,9,diamantes,7,no_hay_figura
diamantes,10,treboles,1,treboles,Q,treboles,4,corazones,6,no_hay_figura
corazones,7,diamantes,Q,picas,Q,picas,6,picas,3,pareja
treboles,3,diamantes,2,treboles,4,picas,J,picas,K,no_hay_figura
corazones,1,picas,4,corazones,10,picas,3,picas,2,no_hay_figura
treboles,4,treboles,10,picas,K,corazones,9,corazones,K,pareja
picas,2,picas,K,corazones,5,treboles,9,diamantes,K,pareja
treboles,2,picas,4,picas,3,diamantes,10,picas,10,pareja
picas,3,corazones,Q,diamantes,10,corazones,6,picas,Q,pareja
treboles,4,treboles,Q,treboles,10,diamantes,Q,diamantes,J,pareja
treboles,1,diamantes,6,diamantes,3,corazones,5,treboles,3,pareja
diamantes,J,treboles,K,picas,10,corazones,10,treboles,3,pareja
corazones,K,picas,K,treboles,4,corazones,9,picas,Q,pareja
diamantes,K,diamantes,3,treboles,8,treboles,9,corazones,9,pareja
corazones,7,diamantes,7,treboles,5,corazones,6,corazones,K,pareja
treboles,J,diamantes,4,picas,5,diamantes,J,treboles,2,pareja
corazones,2,corazones,9,corazones,3,treboles,7,treboles,4,no_hay_figura
treboles,8,picas,1,treboles,9,treboles,J,diamantes,K,no_hay_figura
treboles,J,corazones,5,diamantes,3,treboles,2,treboles,3,pareja
picas,3,picas,2,picas,Q,treboles,6,picas,1,no_hay_figura
corazones,K,treboles,9,corazones,5,diamantes,1,diamantes,8,no_hay_figura
treboles,3,picas,4,treboles,5,corazones,K,corazones,9,no_hay_figura
diamantes,Q,corazones,8,picas,5,corazones,2,treboles,9,no_hay_figura
picas,1,diamantes,1,corazones,8,corazones,J,treboles,1,trio
corazones,K,corazones,9,corazones,2,diamantes,J,diamantes,7,no_hay_figura
picas,9,treboles,8,treboles,6,picas,10,corazones,8,pareja
picas,J,diamantes,4,corazones,5,diamantes,10,picas,7,no_hay_figura
picas,K,corazones,5,treboles,8,corazones,6,diamantes,9,no_hay_figura
treboles,2,treboles,6,diamantes,7,corazones,10,treboles,8,no_hay_figura
corazones,1,corazones,10,corazones,Q,corazones,2,corazones,4,color
picas,3,corazones,2,treboles,6,treboles,10,picas,8,no_hay_figura
diamantes,3,corazones,2,picas,10,diamantes,9,diamantes,J,no_hay_figura
picas,6,treboles,10,treboles,4,picas,2,picas,8,no_hay_figura
diamantes,8,treboles,7,picas,4,corazones,2,diamantes,Q,no_hay_figura
picas,J,corazones,6,treboles,8,treboles,Q,diamantes,Q,pareja
diamantes,6,treboles,Q,diamantes,10,treboles,10,picas,10,trio
corazones,4,picas,Q,corazones,J,corazones,8,treboles,7,no_hay_figura
picas,9,diamantes,Q,corazones,3,picas,10,corazones,9,pareja
picas,4,treboles,3,treboles,5,picas,8,picas,3,pareja
diamantes,9,treboles,3,picas,3,treboles,J,treboles,2,pareja
diamantes,8,corazones,9,picas,Q,corazones,7,corazones,K,no_hay_figura
treboles,6,treboles,J,diamantes,4,treboles,9,corazones,9,pareja
treboles,5,picas,3,corazones,5,diamantes,Q,picas,8,pareja
picas,Q,picas,5,treboles,4,picas,2,treboles,2,pareja
corazones,J,diamantes,K,picas,2,treboles,5,corazones,2,pareja
diamantes,K,treboles,3,treboles,1,treboles,K,picas,8,pareja
treboles,5,picas,9,picas,2,corazones,8,treboles,9,pareja
diamantes,Q,corazones,3,treboles,9,treboles,4,corazones,7,no_hay_figura
corazones,2,picas,10,treboles,4,corazones,4,diamantes,9,pareja
picas,5,diamantes,6,picas,Q,diamantes,Q,corazones,K,pareja
diamantes,6,diamantes,7,corazones,K,corazones,4,diamantes,3,no_hay_figura
picas,8,corazones,5,corazones,6,picas,5,diamantes,7,pareja
diamantes,7,picas,2,diamantes,9,treboles,4,corazones,1,no_hay_figura
corazones,8,diamantes,Q,treboles,8,diamantes,5,picas,5,doble_pareja
corazones,8,corazones,1,picas,K,treboles,9,diamantes,2,no_hay_figura
diamantes,3,corazones,2,diamantes,5,picas,J,diamantes,8,no_hay_figura
corazones,7,picas,1,picas,K,diamantes,10,corazones,5,no_hay_figura
diamantes,5,treboles,4,picas,9,corazones,1,picas,K,no_hay_figura
picas,5,picas,9,treboles,4,treboles,9,diamantes,J,pareja
corazones,2,diamantes,J,diamantes,5,treboles,9,treboles,10,no_hay_figura
picas,9,diamantes,1,treboles,4,picas,2,picas,5,no_hay_figura
diamantes,4,treboles,K,corazones,8,picas,4,corazones,2,pareja
treboles,6,corazones,8,diamantes,1,picas,2,treboles,J,no_hay_figura
diamantes,Q,picas,9,treboles,2,treboles,Q,picas,4,pareja
treboles,J,corazones,7,treboles,1,treboles,8,picas,10,no_hay_figura
picas,Q,picas,K,diamantes,Q,picas,9,diamantes,J,pareja
corazones,Q,treboles,J,diamantes,3,diamantes,K,picas,6,no_hay_figura
picas,2,diamantes,7,treboles,J,corazones,9,diamantes,1,no_hay_figura
diamantes,4,corazones,4,corazones,3,treboles,6,treboles,3,doble_pareja
treboles,5,picas,9,picas,8,diamantes,K,treboles,6,no_hay_figura
picas,1,diamantes,7,corazones,Q,picas,5,picas,4,no_hay_figura
corazones,10,diamantes,1,treboles,3,treboles,4,picas,6,no_hay_figura
picas,Q,treboles,9,treboles,3,corazones,2,corazones,8,no_hay_figura
picas,K,corazones,Q,corazones,7,treboles,Q,diamantes,6,pareja
diamantes,J,corazones,3,diamantes,1,treboles,6,diamantes,4,no_hay_figura
picas,1,treboles,4,diamantes,K,corazones,1,corazones,4,doble_pareja
treboles,10,corazones,6,corazones,5,diamantes,5,diamantes,7,pareja
treboles,7,picas,K,diamantes,1,corazones,9,corazones,3,no_hay_figura
corazones,10,corazones,6,picas,Q,diamantes,J,diamantes,Q,pareja
corazones,5,treboles,1,picas,4,diamantes,5,picas,Q,pareja
diamantes,J,picas,5,treboles,3,treboles,1,treboles,Q,no_hay_figura
treboles,2,picas,5,diamantes,K,picas,1,corazones,7,no_hay_figura
diamantes,9,diamantes,7,treboles,2,corazones,5,diamantes,2,pareja
treboles,9,treboles,8,diamantes,7,picas,3,treboles,1,no_hay_figura
treboles,9,diamantes,J,diamantes,3,treboles,J,treboles,8,pareja
diamantes,7,diamantes,4,treboles,2,diamantes,9,picas,5,no_hay_figura
diamantes,9,treboles,Q,corazones,1,diamantes,2,picas,9,pareja
diamantes,7,picas,Q,diamantes,4,treboles,5,diamantes,J,no_hay_figura
diamantes,3,treboles,4,treboles,5,corazones,Q,picas,6,no_hay_figura
diamantes,9,picas,4,corazones,1,treboles,1,treboles,Q,pareja
picas,6,corazones,7,picas,5,treboles,Q,diamantes,K,no_hay_figura
diamantes,9,treboles,5,picas,8,corazones,2,picas,4,no_hay_figura
treboles,10,diamantes,4,treboles,9,treboles,4,corazones,1,pareja
picas,4,treboles,5,picas,9,diamantes,8,treboles,K,no_hay_figura
picas,K,corazones,K,picas,9,corazones,J,picas,1,pareja
treboles,Q,picas,7,picas,10,diamantes,3,picas,9,no_hay_figura
treboles,1,corazones,3,treboles,9,diamantes,J,treboles,10,no_hay_figura
picas,5,corazones,1,corazones,3,corazones,5,picas,10,pareja
picas,4,picas,Q,treboles,8,diamantes,10,corazones,10,pareja
picas,6,corazones,1,corazones,7,picas,5,corazones,K,no_hay_figura
picas,10,diamantes,1,corazones,3,corazones,5,diamantes,7,no_hay_figura
picas,1,corazones,J,picas,Q,treboles,1,picas,4,pareja
treboles,5,diamantes,4,corazones,5,picas,4,treboles,10,doble_pareja
picas,J,diamantes,4,diamantes,7,treboles,J,picas,6,pareja
diamantes,5,diamantes,6,diamantes,7,corazones,10,diamantes,K,no_hay_figura
picas,10,diamantes,J,treboles,1,picas,9,corazones,7,no_hay_figura
picas,2,diamantes,4,picas,J,picas,K,diamantes,3,no_hay_figura
diamantes,9,corazones,9,diamantes,10,treboles,K,diamantes,5,pareja
diamantes,J,treboles,1,diamantes,3,picas,7,treboles,Q,no_hay_figura
treboles,Q,diamantes,K,picas,7,treboles,6,diamantes,4,no_hay_figura
diamantes,8,diamantes,4,picas,7,corazones,10,corazones,Q,no_hay_figura
treboles,5,diamantes,K,picas,10,treboles,7,corazones,5,pareja
treboles,5,diamantes,6,picas,J,corazones,7,diamantes,8,no_hay_figura
treboles,J,corazones,5,corazones,1,corazones,9,corazones,J,pareja
diamantes,9,picas,5,treboles,9,treboles,10,treboles,4,pareja
diamantes,K,treboles,6,diamantes,1,treboles,5,picas,Q,no_hay_figura
diamantes,2,picas,9,diamantes,1,picas,1,treboles,Q,pareja
corazones,Q,diamantes,7,corazones,K,picas,3,corazones,9,no_hay_figura
diamantes,Q,picas,K,diamantes,K,corazones,4,picas,5,pareja
picas,2,diamantes,1,picas,4,treboles,1,treboles,8,pareja
diamantes,8,picas,2,diamantes,7,treboles,8,treboles,Q,pareja
treboles,7,diamantes,10,corazones,8,diamantes,2,corazones,1,no_hay_figura
picas,8,diamantes,3,treboles,8,diamantes,8,diamantes,J,trio
treboles,5,picas,8,treboles,J,diamantes,8,picas,J,doble_pareja
picas,10,treboles,10,corazones,Q,corazones,1,treboles,3,pareja
corazones,3,treboles,K,corazones,Q,picas,4,corazones,10,no_hay_figura
picas,5,diamantes,6,diamantes,1,treboles,5,corazones,Q,pareja
picas,1,corazones,7,diamantes,5,corazones,2,corazones,9,no_hay_figura
treboles,Q,corazones,K,treboles,9,diamantes,9,picas,K,doble_pareja
treboles,1,picas,J,diamantes,2,corazones,2,diamantes,Q,pareja
diamantes,J,diamantes,10,treboles,4,picas,K,corazones,2,no_hay_figura
picas,5,corazones,4,picas,7,corazones,Q,picas,10,no_hay_figura
corazones,7,picas,1,treboles,7,corazones,2,corazones,K,pareja
treboles,8,picas,J,diamantes,K,picas,1,corazones,8,pareja
diamantes,9,corazones,Q,treboles,6,picas,5,corazones,9,pareja
treboles,9,picas,4,treboles,8,picas,10,corazones,4,pareja
picas,9,diamantes,6,treboles,6,diamantes,4,diamantes,7,pareja
diamantes,J,picas,7,diamantes,7,treboles,1,picas,9,pareja
treboles,9,corazones,4,diamantes,Q,corazones,K,picas,10,no_hay_figura
treboles,1,treboles,8,corazones,5,treboles,Q,picas,8,pareja
treboles,J,corazones,8,diamantes,6,picas,1,treboles,8,pareja
corazones,7,diamantes,3,diamantes,Q,picas,J,corazones,5,no_hay_figura
corazones,2,picas,K,diamantes,2,treboles,3,picas,1,pareja
corazones,6,diamantes,K,treboles,8,picas,J,picas,7,no_hay_figura
diamantes,J,picas,4,corazones,8,picas,2,treboles,2,pareja
corazones,6,corazones,4,picas,Q,corazones,5,diamantes,6,pareja
picas,2,picas,7,treboles,7,corazones,10,diamantes,9,pareja
diamantes,2,diamantes,9,picas,3,diamantes,K,diamantes,10,no_hay_figura
corazones,3,picas,4,corazones,10,corazones,2,picas,J,no_hay_figura
diamantes,7,picas,9,corazones,Q,treboles,10,treboles,Q,pareja
treboles,6,treboles,2,treboles,Q,corazones,J,diamantes,9,no_hay_figura
treboles,2,treboles,4,treboles,9,treboles,Q,diamantes,3,no_hay_figura
picas,9,corazones,2,diamantes,7,picas,Q,diamantes,10,no_hay_figura
corazones,J,corazones,Q,corazones,K,picas,9,corazones,1,no_hay_figura
diamantes,K,corazones,4,diamantes,7,picas,6,picas,1,no_hay_figura
corazones,4,treboles,10,diamantes,7,treboles,Q,corazones,1,no_hay_figura
corazones,J,picas,5,picas,4,picas,10,corazones,K,no_hay_figura
corazones,7,picas,7,diamantes,J,corazones,8,diamantes,10,pareja
corazones,Q,diamantes,4,treboles,4,corazones,8,treboles,6,pareja
corazones,5,diamantes,7,corazones,6,corazones,9,diamantes,1,no_hay_figura
corazones,8,diamantes,2,diamantes,8,diamantes,6,treboles,10,pareja
diamantes,K,diamantes,3,corazones,10,corazones,Q,diamantes,Q,pareja
picas,1,diamantes,J,diamantes,5,picas,Q,corazones,Q,pareja
diamantes,3,diamantes,6,corazones,K,corazones,2,treboles,10,no_hay_figura
treboles,6,diamantes,K,picas,5,picas,9,picas,K,pareja
corazones,J,picas,K,treboles,1,corazones,6,treboles,7,no_hay_figura
picas,4,diamantes,Q,picas,6,picas,3,picas,10,no_hay_figura
treboles,Q,picas,10,picas,6,treboles,4,corazones,3,no_hay_figura
treboles,4,treboles,9,picas,J,diamantes,8,corazones,8,pareja
diamantes,3,corazones,10,corazones,1,picas,3,corazones,6,pareja
diamantes,5,diamantes,4,treboles,2,treboles,K,picas,J,no_hay_figura
picas,10,treboles,6,corazones,J,corazones,Q,diamantes,7,no_hay_figura
treboles,1,diamantes,Q,picas,K,diamantes,J,treboles,3,no_hay_figura
picas,9,corazones,Q,picas,3,diamantes,3,diamantes,7,pareja
corazones,8,picas,3,diamantes,2,picas,2,picas,5,pareja
picas,1,corazones,2,diamantes,8,picas,7,diamantes,10,no_hay_figura
corazones,9,picas,K,picas,9,picas,5,diamantes,4,pareja
treboles,3,corazones,10,treboles,9,picas,J,picas,9,pareja
treboles,6,diamantes,10,corazones,3,treboles,K,treboles,5,no_hay_figura
treboles,Q,picas,J,treboles,8,diamantes,6,diamantes,7,no_hay_figura
corazones,1,corazones,9,diamantes,4,treboles,9,corazones,Q,pareja
picas,7,corazones,J,corazones,6,corazones,2,corazones,1,no_hay_figura
picas,6,diamantes,10,treboles,6,picas,Q,diamantes,K,pareja
diamantes,J,picas,8,treboles,5,diamantes,9,corazones,10,no_hay_figura
corazones,5,treboles,3,picas,9,diamantes,3,diamantes,8,pareja
diamantes,10,treboles,J,corazones,1,picas,2,corazones,8,no_hay_figura
treboles,5,picas,4,treboles,2,diamantes,6,corazones,10,no_hay_figura
picas,6,diamantes,7,corazones,3,diamantes,J,diamantes,9,no_hay_figura
treboles,8,corazones,K,corazones,Q,diamantes,2,diamantes,4,no_hay_figura
corazones,J,treboles,4,diamantes,8,diamantes,Q,corazones,4,pareja
treboles,7,picas,9,treboles,2,corazones,5,corazones,1,no_hay_figura
treboles,Q,treboles,2,treboles,9,corazones,2,treboles,6,pareja
diamantes,K,picas,J,treboles,1,corazones,1,corazones,J,doble_pareja
picas,4,picas,9,diamantes,7,treboles,4,corazones,9,doble_pareja
diamantes,3,diamantes,7,treboles,Q,corazones,10,diamantes,10,pareja
diamantes,3,diamantes,6,treboles,2,treboles,8,picas,9,no_hay_figura
corazones,Q,picas,1,treboles,1,picas,K,treboles,8,pareja
picas,K,picas,J,diamantes,4,corazones,1,picas,4,pareja
treboles,J,corazones,Q,corazones,4,picas,2,picas,7,no_hay_figura
diamantes,6,picas,1,corazones,10,diamantes,J,diamantes,5,no_hay_figura
picas,4,treboles,J,diamantes,4,picas,J,diamantes,5,doble_pareja
corazones,1,treboles,J,diamantes,5,corazones,3,picas,8,no_hay_figura
diamantes,Q,diamantes,7,treboles,K,corazones,8,diamantes,1,no_hay_figura
corazones,5,picas,4,diamantes,10,treboles,K,treboles,J,no_hay_figura
diamantes,8,picas,3,picas,1,treboles,9,treboles,6,no_hay_figura
corazones,3,diamantes,7,corazones,5,picas,7,treboles,3,doble_pareja
corazones,9,treboles,1,treboles,10,treboles,3,diamantes,9,pareja
treboles,10,picas,9,treboles,6,picas,6,diamantes,6,trio
picas,3,diamantes,K,picas,10,diamantes,4,diamantes,Q,no_hay_figura
corazones,3,picas,2,picas,10,corazones,10,diamantes,7,pareja
diamantes,9,diamantes,4,treboles,Q,corazones,1,diamantes,10,no_hay_figura
corazones,4,picas,7,corazones,K,diamantes,7,diamantes,8,pareja
corazones,4,treboles,J,diamantes,7,diamantes,1,diamantes,6,no_hay_figura
picas,Q,treboles,8,diamantes,7,diamantes,4,treboles,10,no_hay_figura
corazones,5,picas,K,corazones,K,picas,5,corazones,4,doble_pareja
corazones,9,corazones,8,diamantes,4,picas,2,treboles,1,no_hay_figura
corazones,J,diamantes,4,corazones,3,picas,6,diamantes,10,no_hay_figura
corazones,10,diamantes,1,corazones,J,diamantes,4,picas,7,no_hay_figura
diamantes,4,diamantes,1,corazones,5,diamantes,2,picas,5,pareja
picas,K,diamantes,5,corazones,10,diamantes,K,corazones,7,pareja
diamantes,4,diamantes,Q,treboles,7,treboles,K,picas,4,pareja
picas,9,picas,5,diamantes,1,treboles,Q,treboles,K,no_hay_figura
corazones,7,treboles,6,diamantes,4,picas,2,diamantes,3,no_hay_figura
picas,Q,corazones,2,diamantes,4,picas,2,treboles,Q,doble_pareja
treboles,8,corazones,9,diamantes,10,picas,4,picas,5,no_hay_figura
diamantes,4,corazones,2,diamantes,7,picas,Q,diamantes,1,no_hay_figura
diamantes,2,corazones,2,diamantes,4,picas,Q,diamantes,Q,doble_pareja
treboles,K,corazones,J,corazones,2,picas,6,treboles,4,no_hay_figura
picas,9,diamantes,3,corazones,J,treboles,3,diamantes,6,pareja
treboles,3,treboles,K,diamantes,J,treboles,5,picas,8,no_hay_figura
picas,10,diamantes,10,picas,J,diamantes,Q,corazones,J,doble_pareja
treboles,4,corazones,2,treboles,6,corazones,5,picas,4,pareja
diamantes,4,picas,2,treboles,7,picas,Q,picas,3,no_hay_figura
treboles,Q,corazones,10,treboles,8,treboles,J,picas,1,no_hay_figura
treboles,6,treboles,3,picas,5,diamantes,7,diamantes,J,no_hay_figura
picas,8,corazones,Q,diamantes,K,diamantes,7,diamantes,8,pareja
picas,1,picas,6,corazones,1,treboles,7,corazones,5,pareja
picas,10,picas,8,diamantes,7,picas,7,diamantes,Q,pareja
treboles,7,corazones,7,corazones,Q,corazones,3,corazones,10,pareja
picas,7,corazones,6,picas,4,diamantes,6,corazones,10,pareja
treboles,3,diamantes,K,picas,2,treboles,Q,treboles,2,pareja
diamantes,Q,picas,2,treboles,5,corazones,6,diamantes,10,no_hay_figura
corazones,6,treboles,2,diamantes,3,diamantes,10,picas,K,no_hay_figura
treboles,4,picas,4,diamantes,5,corazones,7,diamantes,10,pareja
diamantes,2,treboles,K,picas,1,corazones,1,picas,6,pareja
diamantes,K,picas,2,treboles,J,picas,5,treboles,7,no_hay_figura
corazones,7,diamantes,K,treboles,5,treboles,6,corazones,J,no_hay_figura
treboles,3,treboles,9,picas,K,treboles,8,treboles,J,no_hay_figura
diamantes,2,corazones,6,corazones,Q,picas,K,corazones,10,no_hay_figura
diamantes,K,corazones,1,corazones,10,treboles,9,picas,9,pareja
diamantes,10,treboles,5,diamantes,7,corazones,6,treboles,J,no_hay_figura
picas,3,treboles,5,corazones,1,picas,10,picas,J,no_hay_figura
corazones,K,diamantes,2,picas,6,treboles,6,diamantes,5,pareja
treboles,K,treboles,4,picas,7,diamantes,1,picas,4,pareja
corazones,3,treboles,Q,corazones,10,diamantes,7,corazones,J,no_hay_figura
corazones,8,treboles,3,diamantes,1,treboles,7,corazones,2,no_hay_figura
treboles,7,diamantes,3,picas,10,diamantes,4,corazones,9,no_hay_figura
picas,7,corazones,4,diamantes,4,diamantes,Q,diamantes,3,pareja
treboles,4,picas,7,corazones,2,corazones,9,treboles,1,no_hay_figura
picas,1,picas,K,treboles,8,treboles,4,picas,3,no_hay_figura
treboles,7,corazones,J,diamantes,4,corazones,6,diamantes,8,no_hay_figura
picas,10,treboles,5,picas,8,diamantes,6,corazones,5,pareja
diamantes,1,treboles,5,picas,3,picas,1,picas,4,pareja
diamantes,6,diamantes,10,diamantes,5,picas,Q,corazones,7,no_hay_figura
corazones,7,picas,7,picas,1,diamantes,3,picas,6,pareja
corazones,1,picas,2,corazones,4,picas,8,corazones,3,no_hay_figura
treboles,Q,diamantes,Q,diamantes,4,treboles,10,treboles,9,pareja
treboles,7,picas,8,corazones,5,diamantes,J,picas,K,no_hay_figura
treboles,8,diamantes,K,corazones,1,diamantes,1,corazones,4,pareja
corazones,1,treboles,Q,corazones,Q,picas,7,corazones,9,pareja
picas,3,corazones,10,picas,10,picas,9,picas,Q,pareja
corazones,1,corazones,8,diamantes,4,picas,10,diamantes,3,no_hay_figura
treboles,1,diamantes,8,diamantes,J,treboles,K,treboles,J,pareja
corazones,10,corazones,5,corazones,1,treboles,9,corazones,6,no_hay_figura
picas,K,picas,4,treboles,8,treboles,Q,treboles,9,no_hay_figura
diamantes,2,picas,Q,corazones,6,diamantes,8,treboles,10,no_hay_figura
treboles,6,treboles,8,corazones,10,treboles,7,corazones,5,no_hay_figura
treboles,2,treboles,3,treboles,9,picas,3,diamantes,K,pareja
treboles,9,diamantes,5,corazones,2,picas,6,treboles,8,no_hay_figura
picas,2,picas,J,diamantes,4,treboles,4,picas,6,pareja
corazones,J,picas,Q,treboles,2,corazones,10,picas,7,no_hay_figura
corazones,3,picas,7,corazones,9,corazones,4,picas,6,no_hay_figura
picas,4,diamantes,3,treboles,J,diamantes,Q,corazones,9,no_hay_figura
treboles,9,picas,1,treboles,1,picas,2,treboles,7,pareja
picas,1,diamantes,1,treboles,8,picas,6,diamantes,Q,pareja
picas,9,diamantes,5,diamantes,6,corazones,9,treboles,4,pareja
corazones,4,corazones,1,treboles,2,picas,5,corazones,2,pareja
diamantes,7,treboles,K,diamantes,1,picas,10,diamantes,10,pareja
picas,8,treboles,5,treboles,1,treboles,K,diamantes,2,no_hay_figura
treboles,7,treboles,8,diamantes,1,corazones,K,treboles,K,pareja
corazones,10,picas,6,corazones,8,corazones,4,corazones,7,no_hay_figura
treboles,2,diamantes,6,corazones,Q,corazones,8,diamantes,10,no_hay_figura
picas,7,corazones,3,treboles,2,treboles,5,treboles,Q,no_hay_figura
